id,user_id,scenario_type,sg_input_type,input_state,event_datetime
0, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
1, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
2, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
3, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
4, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
5, "0", "Default", "Move", "Started", "2024-4-15 19:43:28"
6, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
7, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
8, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
9, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
10, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
11, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
12, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
13, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
14, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
15, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
16, "0", "Default", "Move", "Started", "2024-4-15 19:43:29"
17, "0", "Default", "Move", "Completed", "2024-4-15 19:43:29"
18, "0", "Default", "Move", "Started", "2024-4-15 19:43:45"
19, "0", "Default", "Move", "Completed", "2024-4-15 19:43:45"
20, "0", "Default", "Move", "Started", "2024-4-15 19:43:45"
21, "0", "Default", "Move", "Started", "2024-4-15 19:43:45"
22, "0", "Default", "Move", "Started", "2024-4-15 19:43:45"
23, "0", "Default", "Move", "Started", "2024-4-15 19:43:45"
24, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
25, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
26, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
27, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
28, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
29, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
30, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
31, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
32, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
33, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
34, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
35, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
36, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
37, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
38, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
39, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
40, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
41, "0", "Default", "Move", "Completed", "2024-4-15 19:43:46"
42, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
43, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
44, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
45, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
46, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
47, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
48, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
49, "0", "Default", "Move", "Started", "2024-4-15 19:43:46"
50, "0", "Default", "Move", "Started", "2024-4-15 19:43:47"
51, "0", "Default", "Move", "Started", "2024-4-15 19:43:47"
52, "0", "Default", "Move", "Started", "2024-4-15 19:43:47"
53, "0", "Default", "Move", "Started", "2024-4-15 19:43:47"
