id,user_id,scenario_type,actor_id,event_type,event_datetime
79, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:32"
80, "2", "S1_BasicMechanics", "2", "release", "2024-4-6 17:33:33"
81, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:33"
82, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:34"
83, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:34"
84, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:37"
85, "2", "S1_BasicMechanics", "2", "grab", "2024-4-6 17:33:37"
86, "2", "S1_BasicMechanics", "2", "release", "2024-4-6 17:33:40"
87, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:40"
88, "2", "S1_BasicMechanics", "2", "grab", "2024-4-6 17:33:41"
89, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:41"
90, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:41"
91, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:41"
92, "2", "S1_BasicMechanics", "2", "release", "2024-4-6 17:33:42"
93, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:43"
94, "2", "S1_BasicMechanics", "2", "grab", "2024-4-6 17:33:43"
95, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:43"
96, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:43"
97, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:43"
98, "2", "S1_BasicMechanics", "2", "release", "2024-4-6 17:33:43"
99, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:44"
100, "2", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 17:33:46"
101, "2", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 17:33:47"
102, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:8"
103, "9", "S1_BasicMechanics", "2", "grab", "2024-4-6 18:52:8"
104, "9", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 18:52:8"
105, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:8"
106, "9", "S1_BasicMechanics", "2", "release", "2024-4-6 18:52:8"
107, "9", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 18:52:8"
108, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:9"
109, "9", "S1_BasicMechanics", "2", "grab", "2024-4-6 18:52:9"
110, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:9"
111, "9", "S1_BasicMechanics", "2", "release", "2024-4-6 18:52:9"
112, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:9"
113, "9", "S1_BasicMechanics", "2", "grab", "2024-4-6 18:52:10"
114, "9", "S1_BasicMechanics", "2", "release", "2024-4-6 18:52:10"
115, "9", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 18:52:10"
116, "9", "S1_BasicMechanics", "2", "grab", "2024-4-6 18:52:11"
117, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:11"
118, "9", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 18:52:11"
119, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:11"
120, "9", "S1_BasicMechanics", "2", "release", "2024-4-6 18:52:11"
121, "9", "S1_BasicMechanics", "2", "stop_detection", "2024-4-6 18:52:11"
122, "9", "S1_BasicMechanics", "2", "grab", "2024-4-6 18:52:11"
123, "9", "S1_BasicMechanics", "2", "start_detection", "2024-4-6 18:52:11"
